Original_File_Name,Date,County,Med_County_Sales,Rec_County_Sales
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Boulder,2547883,3192671
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Chaffee,92938,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Clear Creek,108796,473299
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Costilla,1,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Denver,14083010,14518417
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Eagle,165132,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,El Paso,5895119,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Fremont,250084,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Garfield,446439,403958
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Gilpin,36110,160328
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Grand,1,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Gunnison,1,307664
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Jefferson,1913729,1699749
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Lake,0,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,La Plata,604088,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Larimer,1087000,1083910
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Mesa,1,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Moffat,1,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Montezuma,120802,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Montrose,1,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Ouray,1,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Park,1,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Pitkin,117930,505148
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Pueblo,459326,1985679
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Routt,1,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Saguache,1,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,San Miguel,49131,548213
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Sedgwick,1,1
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Summit,189746,981349
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Teller,1,0
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Weld,303374,1168267
0714_MarijuanaSalesReport PUBLISH.xlsx,2014-07-31,Non-Reported,743675,2838140
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Adams,481873,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Alamosa,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Arapahoe,1453140,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Archuleta,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Boulder,2728671,3644021
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Chaffee,75887,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Clear Creek,102919,480132
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Costilla,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Denver,15861744,15901236
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Eagle,171357,414091
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,El Paso,6327504,1
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Fremont,268966,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Garfield,531623,603468
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Gilpin,42366,155054
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Grand,1,0
0814_MarijuanaSalesReport PUBLISH.xlsx,2014-08-31,Gunnison,1,309611
